user_id,transaction_type,date,amount,asset
1,buy,2023-10-06,872.88,ETH
1,sell,2022-05-13,783.42,ETH
1,buy,2021-06-08,983.42,AAPL
1,sell,2022-01-05,776.96,ETH
1,sell,2024-08-13,749.57,AAPL
1,sell,2022-10-05,1227.24,ETH
1,buy,2023-04-16,902.4,AAPL
1,buy,2022-08-23,839.53,AAPL
1,sell,2021-11-01,492.26,GLD
2,buy,2024-10-10,700.36,ETH
2,buy,2022-08-14,1133.15,ETH
2,buy,2024-03-09,840.45,TSLA
2,buy,2022-08-03,1260.57,ETH
2,sell,2024-01-24,749.8,ETH
2,sell,2020-01-30,1150.06,TSLA
2,buy,2024-08-17,882.98,S&P500
2,buy,2023-07-23,1245.24,TSLA
2,sell,2020-01-10,671.92,AAPL
2,buy,2020-11-15,426.19,BTC
3,buy,2021-02-17,1062.26,ETH
3,buy,2024-01-28,317.2,BTC
3,sell,2022-04-09,1071.91,GLD
3,buy,2023-12-17,1140.62,AAPL
3,sell,2021-06-30,662.03,ETH
3,buy,2020-06-26,633.58,BTC
3,buy,2020-09-18,58.35,GLD
3,sell,2023-01-17,596.7,S&P500
3,sell,2024-04-20,512.5,ETH
3,sell,2023-11-28,690.23,BTC
3,sell,2023-09-10,714.51,BTC
4,buy,2021-05-09,844.87,AAPL
4,buy,2024-02-08,881.79,BTC
4,sell,2024-05-13,663.73,EURUSD
4,sell,2023-08-08,848.48,GLD
4,sell,2023-01-18,634.44,S&P500
4,sell,2021-06-11,624.33,AAPL
4,sell,2021-01-24,1193.3,ETH
4,buy,2024-08-09,905.77,TSLA
4,sell,2021-02-15,638.67,BTC
4,buy,2021-12-08,786.76,EURUSD
5,buy,2024-08-02,398.87,AAPL
5,buy,2023-01-25,701.5,GLD
5,sell,2021-10-25,959.81,TSLA
5,buy,2020-03-18,958.86,BTC
5,buy,2023-03-15,521.3,BTC
6,sell,2024-03-31,866.85,GLD
6,buy,2023-07-29,1218.79,BTC
6,buy,2022-07-08,728.56,S&P500
6,sell,2021-02-26,796.4,GLD
6,sell,2024-02-26,742.77,ETH
6,buy,2020-03-13,849.16,GLD
6,sell,2023-06-25,865.35,S&P500
6,sell,2024-08-03,1001.91,GLD
