user_id,age,income,experience_years,risk_survey_score,total_transactions,avg_amount,first_tx_date,last_tx_date,active_days,monthly_freq,tx_count_30d,pct_crypto,pct_etf,pct_forex,pct_other,pct_stocks,pct_bond,volatility_mean_30,volatility_mean_60,volatility_std_30,risk_level,cluster_label
1,42,242,11,17,9,847.52,2021-06-08,2024-08-13,1162,1.0,0,0.4444444444444444,0.0,0.0,0.1111111111111111,0.4444444444444444,0.0,0.0162827550676207,0.0162996791516418,0.0060887028939416,medium,1
2,36,332,4,17,10,906.072,2020-01-10,2024-10-10,1735,1.0,0,0.5,0.1,0.0,0.0,0.4,0.0,0.0136128761287972,0.0136436616563369,0.004067054658425,medium,1
3,44,225,20,11,11,678.1718181818183,2020-06-26,2024-04-20,1394,1.0,0,0.6363636363636364,0.0909090909090909,0.0,0.1818181818181818,0.0909090909090909,0.0,0.0118949976285067,0.0119330495395861,0.0048702608359081,medium,2
4,53,301,17,12,10,802.214,2021-01-24,2024-08-09,1293,1.0,0,0.3,0.1,0.2,0.1,0.3,0.0,0.0117264889752322,0.011771784394582,0.0043435233647635,medium,2
5,35,116,9,13,5,708.068,2020-03-18,2024-08-02,1598,1.0,0,0.4,0.0,0.0,0.2,0.4,0.0,0.0114761345825331,0.011528872710026,0.0050063607930069,medium,2
6,35,412,5,19,10,898.777,2020-03-13,2024-11-23,1716,1.0,0,0.2,0.3,0.0,0.5,0.0,0.0,0.0091015972689704,0.0091700278184539,0.0037041284590946,high,0
7,53,363,17,18,7,744.0942857142857,2020-12-12,2024-08-26,1353,1.0,0,0.5714285714285714,0.1428571428571428,0.0,0.0,0.2857142857142857,0.0,0.0139542253836022,0.0139790140437481,0.004067054658425,high,1
8,45,222,12,17,9,806.6277777777779,2020-10-30,2024-02-24,1212,1.0,0,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0118302832610113,0.011863309570886,0.0030865116622926,medium,2
9,33,539,3,15,11,769.4527272727272,2020-12-02,2024-03-29,1213,1.0,0,0.1818181818181818,0.0909090909090909,0.1818181818181818,0.0909090909090909,0.4545454545454545,0.0,0.0124922031636758,0.0125375096404126,0.0043435233647635,medium,1
10,43,637,6,15,7,769.2900000000001,2020-03-14,2024-04-06,1484,1.0,0,0.2857142857142857,0.0,0.1428571428571428,0.2857142857142857,0.2857142857142857,0.0,0.0120121024340243,0.0120592894820588,0.0051324783798363,medium,2
11,33,138,10,12,6,708.6566666666668,2020-05-17,2024-04-20,1434,1.0,0,0.1666666666666666,0.5,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0118566605318058,0.011903078671836,0.0054177394507436,medium,2
12,33,229,5,14,7,688.4114285714286,2020-06-19,2024-09-19,1553,1.0,0,0.4285714285714285,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0133108238719252,0.0133431007703545,0.0045324379924278,medium,1
13,40,228,6,14,10,766.735,2020-07-06,2024-08-07,1493,1.0,0,0.5,0.2,0.0,0.1,0.2,0.0,0.0118667490240278,0.0119077944236904,0.0043788253915699,medium,2
14,18,206,0,19,12,977.97,2020-01-04,2024-09-23,1724,1.3333333333333333,0,0.3333333333333333,0.25,0.0833333333333333,0.0,0.3333333333333333,0.0,0.0117793938903526,0.011823333093422,0.0042729600479427,high,2
15,20,597,1,17,5,763.994,2020-08-15,2024-11-30,1568,1.0,1,0.4,0.0,0.0,0.0,0.6,0.0,0.0119440295163816,0.0119928390707619,0.0031215080049885,medium,1
16,32,323,3,12,7,650.4642857142857,2020-10-02,2024-04-28,1304,1.0,0,0.4285714285714285,0.2857142857142857,0.0,0.1428571428571428,0.1428571428571428,0.0,0.0116375678707251,0.0116810034142161,0.0048702608359081,medium,2
17,27,309,4,18,10,839.9780000000001,2020-03-13,2024-11-12,1705,1.0,0,0.3,0.3,0.0,0.1,0.3,0.0,0.0128975611893548,0.0129370879565906,0.0048702608359081,high,2
18,41,109,6,18,10,882.7850000000001,2020-02-21,2024-04-15,1515,1.0,0,0.5,0.3,0.0,0.1,0.1,0.0,0.0117112957639281,0.0117510834037134,0.0048702608359081,high,2
19,28,531,2,19,10,828.507,2020-01-08,2024-12-17,1805,1.0,1,0.4,0.1,0.1,0.0,0.4,0.0,0.0121946159449517,0.0122360942504187,0.0042729600479427,high,2
20,23,172,1,20,15,853.0653333333333,2020-01-15,2024-12-04,1785,1.0,1,0.3333333333333333,0.1333333333333333,0.0666666666666666,0.2666666666666666,0.2,0.0,0.0115159717810269,0.0115646355306622,0.0043435233647635,high,2
21,52,376,23,9,4,695.9075,2020-12-23,2023-05-18,876,0.0,0,0.5,0.0,0.0,0.25,0.25,0.0,0.0130108150248908,0.013048482423542,0.0053580453908013,low,1
22,35,428,4,13,12,860.5358333333334,2020-05-29,2024-08-21,1545,1.0,0,0.6666666666666666,0.0833333333333333,0.0,0.0833333333333333,0.1666666666666666,0.0,0.0125703713929849,0.0126027452498635,0.0043788253915699,medium,2
23,38,821,4,16,7,919.9257142857144,2021-05-13,2024-12-23,1320,3.0,3,0.4285714285714285,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.014156595786961,0.0141825584349612,0.0045324379924278,medium,2
24,23,165,2,22,9,855.1822222222222,2020-05-24,2024-06-17,1485,1.0,0,0.5555555555555556,0.0,0.0,0.1111111111111111,0.3333333333333333,0.0,0.0135955051149354,0.0136264371591922,0.0047059631076497,high,1
25,32,59,9,18,8,807.5112499999999,2020-03-14,2024-09-30,1661,1.0,0,0.5,0.0,0.0,0.25,0.25,0.0,0.0113149070527089,0.0113645161331651,0.0047059631076497,high,2
26,39,405,7,13,9,695.1633333333333,2020-08-16,2024-07-14,1428,1.0,0,0.1111111111111111,0.3333333333333333,0.0,0.1111111111111111,0.4444444444444444,0.0,0.0116570457606549,0.0117109316172937,0.0047513584983907,medium,2
27,26,1069,3,23,8,986.4275,2020-10-24,2024-11-07,1475,2.0,0,0.5,0.125,0.125,0.125,0.125,0.0,0.0119205744220768,0.011958564083196,0.0047563394076305,high,2
28,41,763,5,12,6,749.3066666666667,2020-10-14,2024-12-27,1535,1.0,1,0.6666666666666666,0.1666666666666666,0.0,0.1666666666666666,0.0,0.0,0.0114647610088685,0.0115025959421352,0.0037041284590946,medium,2
29,31,411,6,15,5,953.246,2020-10-31,2024-05-30,1307,1.0,0,0.4,0.6,0.0,0.0,0.0,0.0,0.012195390636834,0.012227813681349,0.0044054644322872,medium,2
